epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
169,2794,1.11476,0.91627,1.72151,0.90574,0.96315,0.97682,0.72014,1.06946,1.1856,1.64357,0.0008912,0.0008912,0.0008912
170,2809.7,1.10128,0.85125,1.58941,0.90569,1,0.98591,0.72123,1.06706,0.95483,1.61646,0.0008846,0.0008846,0.0008846
171,2825.85,1.23374,0.95258,1.74596,1,0.98735,0.995,0.68911,1.03136,0.72718,1.64626,0.000878,0.000878,0.000878
172,2841.85,1.17073,0.95855,1.70586,1,0.99104,0.995,0.67386,1.01982,0.77209,1.70993,0.0008714,0.0008714,0.0008714
173,2857.43,1.17614,0.98587,1.78291,0.99302,1,0.995,0.70817,1.00819,0.78841,1.67805,0.0008648,0.0008648,0.0008648
174,2873.23,1.16559,0.98121,1.67451,0.9006,1,0.98591,0.76325,0.94149,0.81098,1.6033,0.0008582,0.0008582,0.0008582
175,2888.73,1.12254,0.90041,1.68331,0.90154,1,0.95864,0.70749,0.92835,0.92682,1.54809,0.0008516,0.0008516,0.0008516
176,2904.05,1.15421,0.92727,1.67938,0.90154,1,0.95864,0.70749,0.92835,0.92682,1.54809,0.000845,0.000845,0.000845
177,2920,1.11478,0.95013,1.66501,0.82718,1,0.945,0.65692,0.96208,1.00608,1.589,0.0008384,0.0008384,0.0008384
178,3010.78,1.09339,0.89206,1.67448,0.89677,1,0.96773,0.7023,0.99816,0.99853,1.64006,0.0008318,0.0008318,0.0008318
179,3030.44,1.18579,0.94781,1.71388,0.89346,1,0.98591,0.68702,1.00466,0.91072,1.62821,0.0008252,0.0008252,0.0008252
180,3047.9,1.18279,0.97529,1.63772,0.95745,1,0.995,0.71171,1.01568,0.89472,1.60587,0.0008186,0.0008186,0.0008186
181,3064.81,1.04888,0.98236,1.61425,0.96537,1,0.995,0.72186,0.96862,0.7959,1.57908,0.000812,0.000812,0.000812
182,3082.1,0.99235,0.81811,1.54091,0.98876,1,0.995,0.71718,0.98708,0.72809,1.62375,0.0008054,0.0008054,0.0008054
183,3099.8,1.13536,0.94176,1.71691,0.99623,1,0.995,0.70297,1.02229,0.74274,1.6422,0.0007988,0.0007988,0.0007988
184,3117.53,1.10677,0.93766,1.63919,0.99623,1,0.995,0.70297,1.02229,0.74274,1.6422,0.0007922,0.0007922,0.0007922
185,3134.79,1.17466,0.91463,1.67427,0.91533,1,0.995,0.732,1.05491,0.74154,1.61556,0.0007856,0.0007856,0.0007856
186,3151.58,1.09208,0.8797,1.60168,0.93843,1,0.995,0.73606,1.03129,0.73908,1.59013,0.000779,0.000779,0.000779
